FID,SITE_SEQ_N,SOURCE_SIT,HICAP_WELL,WI_UNIQUE_,PROPERTY_S,SOURCE_TYP,WATER_USE_,WATER_USE1,GLC_WATER_,SOURCE_STA,APPROVAL_D,COMPLETION,MAX_HYDR_C,MAX_DAILY_,ACTIVE_SOU,OPEN_INT_T,OPEN_INT_B,WELL_DEPTH,SCREENED,ELEV_M
1927,5225,777,100, ,6406,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1972/10/27 00:00:00+00,1966/05/07 00:00:00+00,0,1728000,Y,0,0,0, ,303.8853023
1928,6750,1954,1825,LT632,7429,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1996/04/12 00:00:00+00,1996/06/13 00:00:00+00,1440000,1440000,Y,304,295,30,Y,324.8314471
1929,5330,9399,70648, ,6872,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2009/01/01 00:00:00+00,,28800,0,N,0,0,0, ,296.9285363
1930,6517,4735,23661,BC723,6555,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1966/05/18 00:00:00+00,1966/07/22 00:00:00+00,1728000,1728000,Y,0,0,0, ,346.8014549
1931,6413,6053,36720,BE196,10705,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1984/03/06 00:00:00+00,1984/05/30 00:00:00+00,1440000,1440000,Y,0,0,0, ,324.157851
1932,5252,5781,36394,BD892,6487,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1960/11/17 00:00:00+00,1961/01/09 00:00:00+00,1728000,1728000,Y,0,0,0, ,353.8666981
1933,5527,3650,4469,RB759,7565,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2004/06/17 00:00:00+00,2004/06/24 00:00:00+00,2160000,2160000,Y,304,295,41,Y,336.0877274
1934,6723,6045,36711,BE187,7319,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1982/08/20 00:00:00+00,,1440000,1440000,Y,0,0,0, ,338.8309274
1935,5447,6035,36700,BE177,7344,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1981/07/28 00:00:00+00,1981/08/25 00:00:00+00,216000,216000,Y,0,0,0, ,269.0466475
1936,6530,4808,23749, ,6596,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1961/05/11 00:00:00+00,1961/06/03 00:00:00+00,0,1440000,Y,0,0,0, ,348.7277745
1937,6798,1885,1651,FL914,7610,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1995/10/12 00:00:00+00,1996/04/25 00:00:00+00,1440000,1440000,Y,300,291,31,Y,322.2223784
1938,6551,5038,24024,BD064,6705,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/11/03 00:00:00+00,1976/11/15 00:00:00+00,1440000,1440000,Y,0,0,0, ,349.6665451
1939,6011,3026,3359, ,9493,Groundwater,DS11,Privt/single residence,Commercial,EXPIRED well approval,2001/06/21 00:00:00+00,,43200,5000,N,0,0,0, ,333.5212981
1940,6644,6046,36712,BE188,7045,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1983/02/09 00:00:00+00,1983/05/06 00:00:00+00,1152000,1152000,Y,0,0,0, ,367.744251
1941,5002,7890,68942, ,10160,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2007/08/15 00:00:00+00,2004/08/09 00:00:00+00,28800,0,N,0,0,0, ,278.8206741
1942,5292,4967,23941, ,6684,Groundwater,IR10,Agricultural irrigation,Irrigation,FILLED & SEALED well,1974/04/19 00:00:00+00,1974/04/24 00:00:00+00,1728000,1728000,N,0,0,0, ,365.756949
1943,5290,5141,24170,BD191,6678,Groundwater,IR10,Agricultural irrigation,Irrigation,FILLED & SEALED well,1980/04/25 00:00:00+00,,1728000,1728000,N,0,0,0, ,335.8712941
1944,5536,742,56,BB345,7609,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1978/12/07 00:00:00+00,1965/06/21 00:00:00+00,1188000,1188000,Y,0,0,0, ,319.427349
1945,6306,8781,69960,UM274,10314,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2008/04/11 00:00:00+00,2008/07/30 00:00:00+00,28800,0,N,317,315,25,Y,340.3183529
1946,6725,5801,36416,BD914,7336,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1981/03/30 00:00:00+00,1961/08/01 00:00:00+00,1728000,1728000,Y,0,0,0, ,344.8598804
1947,5009,9163,70400,UW249,10189,Groundwater,LV20,Non-dairy farming,Livestock,APPROVED well with well report,2009/07/16 00:00:00+00,2009/07/22 00:00:00+00,57600,15000,Y,307,304,49,Y,353.7356549
1948,5036,8453,69589,WM061,10331,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2008/05/09 00:00:00+00,2008/05/16 00:00:00+00,1440000,1440000,Y,243,172,97,N,269.1130066
1949,5323,7978,69067, ,6849,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2007/01/01 00:00:00+00,,28800,0,N,0,0,0, ,342.5464216
1950,6719,6085,36758,CR145,7303,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1982/04/21 00:00:00+00,1988/07/09 00:00:00+00,1728000,1728000,Y,282,270,55,Y,324.9320549
1951,5537,747,61,BB349,7617,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1979/07/09 00:00:00+00,1967/06/08 00:00:00+00,1440000,1080000,Y,0,0,0, ,317.1230804
1952,6571,5052,24042,BD080,6772,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1977/03/07 00:00:00+00,,0,1728000,Y,0,0,0, ,356.3234039
1953,6714,6047,36714,BE190,7284,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1983/06/17 00:00:00+00,1983/07/21 00:00:00+00,1440000,1440000,Y,0,0,0, ,311.0087745
1954,5530,5869,36499,BD995,7566,Groundwater,IR10,Agricultural irrigation,Irrigation,FILLED & SEALED well,1984/04/18 00:00:00+00,1964/10/20 00:00:00+00,1440000,1440000,N,0,0,0, ,335.511651
1955,5253,5721,36325,BD824,6488,Groundwater,IR10,Agricultural irrigation,Irrigation,TEMP capped well,1958/05/19 00:00:00+00,,1728000,1728000,Y,0,0,0, ,339.4648981
1956,6360,7381,68331,TB481,10499,Groundwater,IR23,Cranberry irrigation,Irrigation,APPROVED well with well report,2006/08/04 00:00:00+00,2006/08/04 00:00:00+00,1152000,1152000,Y,314,308,14,Y,321.6920294
1957,5342,2530,2666,ME938,6896,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1998/12/11 00:00:00+00,1999/04/07 00:00:00+00,1440000,1440000,Y,319,307,49,Y,354.0648255
1958,5294,4949,23919,BC968,6694,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1971/05/19 00:00:00+00,1971/10/08 00:00:00+00,0,1200000,Y,0,0,0, ,333.1768726
1959,6489,922,267,BB547,6400,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1979/04/11 00:00:00+00,,2016000,1728000,Y,0,0,0, ,318.6470804
1960,5271,5080,24081,BD114,6569,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1983/08/04 00:00:00+00,,1728000,1728000,Y,0,0,0, ,339.4618471
1961,5044,907,250,BB532,10359,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1981/02/17 00:00:00+00,,1152000,1056000,Y,0,0,0, ,286.8106981
1962,5045,906,249,BB531,10359,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1979/01/09 00:00:00+00,1978/06/20 00:00:00+00,1152000,1152000,Y,0,0,0, ,292.8432973
1963,5085,3120,3476,RB740,10499,Groundwater,IR23,Cranberry irrigation,Irrigation,APPROVED well with well report,2003/10/03 00:00:00+00,2003/10/09 00:00:00+00,1440000,1440000,Y,314,308,14,Y,321.417702
1964,5096,8168,69280,UP715,10535,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2007/12/04 00:00:00+00,2008/04/01 00:00:00+00,1584000,1584000,Y,266,257,29,Y,285.8825873
1965,5212,6038,36704,BE181,13672,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1982/02/03 00:00:00+00,1982/04/15 00:00:00+00,1440000,1440000,Y,0,0,0, ,323.2739235
1966,5219,3747,4595,TB489,6388,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2004/10/29 00:00:00+00,2006/09/26 00:00:00+00,28800,1000,N,306,305,26,Y,330.8542981
1967,5255,5891,36521,BE017,6495,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1965/05/26 00:00:00+00,1964/05/27 00:00:00+00,1728000,1728000,Y,0,0,0, ,355.2992804
1968,5256,4744,23677,BC735,6503,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1972/04/26 00:00:00+00,1959/05/01 00:00:00+00,1440000,1440000,Y,0,0,0, ,334.9965196
1969,5261,4736,23662,BC724,6510,Groundwater,IR10,Agricultural irrigation,Irrigation,UNVERIFIED source,1958/09/26 00:00:00+00,1958/05/22 00:00:00+00,1440000,1440000,N,0,0,0, ,319.4060294
1970,5277,5089,24101, ,13898,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1978/01/18 00:00:00+00,1978/04/04 00:00:00+00,1728000,1728000,Y,0,0,0, ,348.5753745
1971,5281,4834,23782,YN673,6616,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/08/25 00:00:00+00,1965/06/14 00:00:00+00,0,1728000,Y,316,311,21,Y,332.0673961
1972,5289,4843,23794,BC849,6677,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1974/06/05 00:00:00+00,,0,1728000,Y,0,0,0, ,335.0330941
1973,5303,5757,36366,BD864,6767,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1965/05/21 00:00:00+00,1965/06/15 00:00:00+00,1440000,1440000,Y,0,0,0, ,336.3224294
1974,5309,3233,3768,SH681,6790,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2004/07/14 00:00:00+00,2004/10/29 00:00:00+00,1440000,1440000,Y,302,296,59,Y,354.2660039
1975,5344,1088,442, ,6906,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1990/06/13 00:00:00+00,1969/08/29 00:00:00+00,720000,720000,Y,0,0,0, ,340.1263274
1976,5416,5041,24027,BD067,7203,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/11/26 00:00:00+00,1976/12/15 00:00:00+00,1728000,1728000,Y,0,0,0, ,326.9193196
1977,5429,5859,36485,BD982,7259,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1964/04/10 00:00:00+00,1965/06/30 00:00:00+00,1440000,1440000,Y,0,0,0, ,332.1496981
1978,5439,5956,36602,BE090,7299,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/10/27 00:00:00+00,1977/05/01 00:00:00+00,1440000,1440000,Y,0,0,0, ,336.1486726
1979,5446,5748,36357,BD855,7335,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1983/04/22 00:00:00+00,,1440000,1440000,Y,0,0,0, ,345.3871784
1980,5526,6057,36724,BE200,7561,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1984/04/18 00:00:00+00,1984/04/18 00:00:00+00,1440000,1440000,Y,0,0,0, ,326.8614255
1981,5528,5930,36570,BE062,7565,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1984/07/02 00:00:00+00,1974/07/19 00:00:00+00,1440000,1440000,Y,0,0,0, ,332.0552294
1982,5547,5794,36409,BD907,7658,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1977/03/11 00:00:00+00,1961/05/19 00:00:00+00,1728000,1728000,Y,0,0,0, ,336.4595745
1983,5863,10681,88411,JF489,8967,Groundwater,PS42,Lodging,Commercial,EXISTING source,1969/06/18 00:00:00+00,1966/06/27 00:00:00+00,50400,40000,Y,283,282,46,Y,327.5685451
1984,5891,10050,75012,BF105,9036,Groundwater,CO99,Commercial - other,Commercial,EXISTING source,1987/01/13 00:00:00+00,,43200,150000,Y,0,0,0, ,278.0614274
1985,5978,2838,3126,NZ873,9394,Groundwater,IR32,Park&Rec field irrig,Irrigation,EXISTING source,2000/05/01 00:00:00+00,2000/06/13 00:00:00+00,72000,72000,Y,308,306,9,Y,314.7760981
1986,6066,3434,4107,SZ006,9620,Groundwater,PS23,OTM - multi-unit housing,Commercial,LOCAP Residential or Fire Well,2003/05/15 00:00:00+00,2005/06/13 00:00:00+00,86400,2000,N,252,230,38,N,267.9774104
1987,6191,7278,68216,EZ669,9900,Groundwater,PS41,Public/transient,Commercial,APPROVED well with well report,2006/06/06 00:00:00+00,1974/09/26 00:00:00+00,72000,10000,Y,0,0,0, ,348.7095059
1988,6239,963,315,BB594,10031,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1984/05/10 00:00:00+00,1984/05/21 00:00:00+00,1728000,1728000,Y,0,0,0, ,323.319651
1989,6243,7685,68730,TY608,10045,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2007/03/30 00:00:00+00,2007/03/30 00:00:00+00,1440000,1440000,Y,240,230,33,Y,263.3667151
1990,6295,4764,23701,BC759,10258,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1987/05/20 00:00:00+00,1959/08/10 00:00:00+00,1440000,1440000,Y,0,0,0, ,338.559651
1991,6378,6076,36745,BE221,10563,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1987/10/14 00:00:00+00,1987/10/08 00:00:00+00,864000,864000,Y,0,0,0, ,272.5814271
1992,6481,773,95,BB383,13671,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1982/02/19 00:00:00+00,1965/11/06 00:00:00+00,1728000,1728000,Y,0,0,0, ,332.9178
1993,6484,5902,36537,BE032,6379,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1966/10/21 00:00:00+00,1966/12/14 00:00:00+00,1440000,1440000,Y,0,0,0, ,325.0814039
1994,6498,1122,482, ,6458,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1990/08/21 00:00:00+00,1990/10/26 00:00:00+00,1440000,1440000,Y,0,0,0, ,305.6595382
1995,6507,1350,838,GF578,6508,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1992/09/17 00:00:00+00,1993/06/02 00:00:00+00,1440000,1440000,Y,309,297,26,Y,320.5947196
1996,6527,5946,36590,BE080,6584,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1976/07/19 00:00:00+00,1976/10/08 00:00:00+00,0,1728000,Y,323,310,32,Y,342.3604981
1997,6548,4719,23638,BC700,6693,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1958/06/03 00:00:00+00,1958/05/31 00:00:00+00,0,1728000,Y,0,0,0, ,345.7285529
1998,6563,5977,36631,BE114,6733,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/12/22 00:00:00+00,1977/06/27 00:00:00+00,1440000,1440000,Y,0,0,0, ,357.7315784
1999,6567,5143,24172,BD193,6746,Groundwater,IR22,Orchards/nursery irrig,Irrigation,EXISTING source,1980/06/04 00:00:00+00,1980/07/01 00:00:00+00,864000,864000,Y,0,0,0, ,334.1034765
2000,6575,8969,70190,UW227,6793,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2009/03/18 00:00:00+00,2009/05/05 00:00:00+00,1440000,1440000,Y,253,244,69,Y,312.8619451
2001,11662,4904,23865,BC916,6566,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1966/08/15 00:00:00+00,1966/10/11 00:00:00+00,0,1440000,Y,0,0,0, ,332.9756941
2002,11688,5000,23978, ,6703,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/03/19 00:00:00+00,1976/04/20 00:00:00+00,1440000,1440000,Y,0,0,0, ,354.2721059
2003,11698,786,112,BB400,14112,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1966/10/03 00:00:00+00,1966/10/11 00:00:00+00,1440000,960000,Y,0,0,0, ,326.9315235
2004,11702,1542,1194,GF585,6781,Groundwater,IR21,Forestry irrigation,Irrigation,EXISTING source,1993/09/08 00:00:00+00,1993/10/05 00:00:00+00,1440000,1440000,Y,320,310,31,Y,341.5649745
2005,11710,5236,24291,BD310,6827,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1987/03/24 00:00:00+00,1987/04/21 00:00:00+00,1728000,1728000,Y,0,0,0, ,339.6508216
2006,11715,4784,23724,BC780,6844,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1960/09/20 00:00:00+00,1988/03/31 00:00:00+00,1728000,1296000,Y,0,0,0, ,348.4534471
2007,11731,9364,70613, ,6872,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2009/01/01 00:00:00+00,,28800,0,N,0,0,0, ,296.9285363
2008,23288,19386,73291,XH677,6581,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2013/09/05 00:00:00+00,2013/09/24 00:00:00+00,1440000,1440000,Y,313,297,64,Y,361.569
2009,12354,2608,2748,KU673,9343,Groundwater,IR32,Park&Rec field irrig,Irrigation,FILLED & SEALED well,1999/04/30 00:00:00+00,1999/05/19 00:00:00+00,129600,130000,N,296,296,44,N,339.4832039
2010,12436,3441,4122,RF366,9620,Groundwater,PS22,OTM - single-unit housing,Commercial,LOCAP Residential or Fire Well,2003/05/15 00:00:00+00,2003/05/22 00:00:00+00,86400,4000,N,259,233,38,N,270.8190602
2011,12838,5861,36487,BD984,6493,Groundwater,IR10,Agricultural irrigation,Irrigation,TEMP capped well,1971/12/01 00:00:00+00,,1728000,1728000,Y,0,0,0, ,333.9297196
2012,12900,5112,24133, ,8665,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1978/08/23 00:00:00+00,1979/09/20 00:00:00+00,432000,432000,Y,0,0,0, ,320.2533451
2013,12916,9444,70693, ,6872,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2009/01/01 00:00:00+00,,28800,0,N,0,0,0, ,296.9285363
2014,12952,4947,23917,BC966,6960,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1971/02/08 00:00:00+00,1971/04/26 00:00:00+00,0,1440000,Y,0,0,0, ,339.0656294
2015,12353,3347,3899,QI716,9343,Groundwater,DS11,Privt/single residence,Commercial,EXISTING source,2001/10/17 00:00:00+00,2001/10/19 00:00:00+00,28800,14000,Y,308,307,36,Y,342.7201784
2016,12470,3460,4150,TB456,9706,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2004/03/26 00:00:00+00,2006/04/11 00:00:00+00,1440000,1440000,Y,242,233,29,Y,261.4653614
2017,12715,5140,24169,BD190,10566,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1987/03/18 00:00:00+00,,1224000,1224000,Y,0,0,0, ,366.7871745
2018,12926,9374,70623, ,6872,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2009/01/01 00:00:00+00,,28800,0,N,0,0,0, ,296.9285363
2019,12950,2671,2830,MY642,6958,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1999/07/26 00:00:00+00,1999/06/08 00:00:00+00,1440000,1440000,Y,294,282,35,Y,316.988949
2020,12419,3198,3719,OC579,9539,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2002/05/09 00:00:00+00,2002/05/16 00:00:00+00,1440000,1440000,Y,296,284,33,Y,315.9709274
2021,12461,6615,67310,FC569,9669,Groundwater,OT99,Other - >70gpm,Other,EXISTING source,2004/01/27 00:00:00+00,1975/08/12 00:00:00+00,28800,3000,Y,280,277,30,Y,307.9180981
2022,12835,7051,67873,TD957,6487,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,2005/10/11 00:00:00+00,2005/10/20 00:00:00+00,1584000,1584000,Y,310,298,55,Y,352.7389529
2023,12865,4889,23845,BC899,6591,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1971/03/10 00:00:00+00,1971/04/20 00:00:00+00,1728000,1728000,Y,0,0,0, ,336.6790216
2024,12889,4970,23944,BC992,6686,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1974/05/10 00:00:00+00,1974/06/22 00:00:00+00,1728000,1728000,Y,0,0,0, ,349.611702
2025,12359,2611,2751,NO704,9349,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1999/05/04 00:00:00+00,1999/06/26 00:00:00+00,1440000,1440000,Y,227,225,50,N,275.5206151
2026,12726,9696,70974,DS519,10614,Groundwater,LV10,Dairy farming,Livestock,APPROVED well with well report,2010/03/22 00:00:00+00,1991/01/16 00:00:00+00,28800,0,Y,303,301,41,Y,342.8390549
2027,12861,4753,23690,BC748,6565,Groundwater,IN99,Industrial - other,Industrial,EXISTING source,1969/05/16 00:00:00+00,,144000,1000,Y,0,0,0, ,326.904102
2028,12971,9458,70707, ,7054,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,2009/01/01 00:00:00+00,,1440000,1440000,Y,0,0,0, ,260.5256606
2029,12372,5156,24191,BD211,12339,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1981/04/17 00:00:00+00,1981/05/14 00:00:00+00,1584000,1584000,Y,0,0,0, ,325.0295745
2030,12743,827,158, ,10700,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1983/04/15 00:00:00+00,1976/07/21 00:00:00+00,1440000,1440000,Y,0,0,0, ,314.3920471
2031,12763,6091,36764, ,10800,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1989/10/17 00:00:00+00,,1440000,1440000,Y,0,0,0, ,328.0958804
2032,12815,749,63,BB351,6395,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1974/05/10 00:00:00+00,1974/06/06 00:00:00+00,1728000,1440000,Y,0,0,0, ,281.4541506
2033,12852,5214,24260,BD279,6522,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1984/09/19 00:00:00+00,1984/09/19 00:00:00+00,1728000,1728000,Y,0,0,0, ,327.1509706
2034,12152,6429,58433,RB782,8664,Groundwater,IN62,Mineral preparations,Industrial,EXISTING source,1985/04/23 00:00:00+00,1985/04/24 00:00:00+00,2160000,1800000,Y,320,308,41,Y,349.4470981
2035,12644,8177,69289,WM028,10243,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2007/12/14 00:00:00+00,2008/05/05 00:00:00+00,1440000,1440000,Y,310,298,40,Y,337.7549745
2036,12888,4968,23942,BC990,6685,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1974/04/19 00:00:00+00,1974/04/16 00:00:00+00,1728000,1728000,Y,0,0,0, ,326.8766804
2037,12891,4955,23928,BC976,6695,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1971/10/18 00:00:00+00,1971/11/05 00:00:00+00,0,1440000,Y,0,0,0, ,345.8931196
2038,12893,5019,24003,BD045,6720,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/06/18 00:00:00+00,1976/06/22 00:00:00+00,2160000,2160000,Y,0,0,0, ,331.847949
2039,12468,6667,67372,HT639,9702,Groundwater,CO22,Recreation - other,Commercial,FILLED & SEALED well,2004/04/01 00:00:00+00,1959/04/25 00:00:00+00,28800,1000,N,273,272,0,Y,278.8331757
2040,12704,9207,70454,UW549,10526,Groundwater,DS12,Privt/multi residences,Commercial,APPROVED well with well report,2009/08/11 00:00:00+00,2009/08/21 00:00:00+00,28800,1000,Y,276,275,36,Y,310.9447598
2041,12735,9785,71089, ,10643,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2010/04/27 00:00:00+00,,28800,500,N,0,0,0, ,282.3865402
2042,12841,1910,1681,WQ587,6496,Groundwater,IR99,Irrigation - other,Irrigation,APPROVED well with well report,1995/09/28 00:00:00+00,1995/10/19 00:00:00+00,432000,432000,Y,310,303,51,Y,354.6225961
2043,12995,2102,2008,LI685,7154,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1997/03/06 00:00:00+00,1997/05/28 00:00:00+00,1728000,1720000,Y,258,194,119,N,312.7644255
2044,12312,10689,88422,BH496,9137,Groundwater,PS41,Public/transient,Commercial,EXISTING source,1977/10/07 00:00:00+00,1977/10/25 00:00:00+00,172800,23000,Y,0,0,0, ,264.4325849
2045,12605,5753,36362,BD860,10111,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1958/11/19 00:00:00+00,1959/07/27 00:00:00+00,1008000,1000000,Y,0,0,0, ,264.0095224
2046,12864,5191,24236,BD255,6583,Groundwater,IR10,Agricultural irrigation,Irrigation,FILLED & SEALED well,1983/09/26 00:00:00+00,,1728000,1728000,N,0,0,0, ,350.9772
2047,12488,3683,4513,TL979,9742,Groundwater,PS43,"Restaurants, taverns",Commercial,EXISTING source,2004/04/12 00:00:00+00,2006/05/04 00:00:00+00,86400,5000,Y,263,263,12,N,274.4010741
2048,12895,5920,36558,BE051,6732,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1972/05/25 00:00:00+00,1973/06/04 00:00:00+00,1152000,1152000,Y,0,0,0, ,324.7308765
2049,12850,4780,23720,BC776,6520,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1960/04/12 00:00:00+00,1960/10/01 00:00:00+00,0,1296000,Y,0,0,0, ,329.2479961
2050,12927,9369,70618, ,6872,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2009/01/01 00:00:00+00,,28800,0,N,0,0,0, ,296.9285363
2051,12804,7965,69051, ,6368,Groundwater,LV20,Non-dairy farming,Livestock,EXISTING source,2007/01/01 00:00:00+00,,86400,0,Y,0,0,0, ,325.151502
2052,12489,3704,4534,SN236,9743,Groundwater,PS23,OTM - multi-unit housing,Commercial,TEMP capped well,2004/04/12 00:00:00+00,2004/09/23 00:00:00+00,86400,5000,Y,255,228,43,N,271.1046614
2053,12848,1163,556,DN542,6513,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1991/02/27 00:00:00+00,1991/04/18 00:00:00+00,720000,720000,Y,304,295,26,Y,321.2195745
2054,12897,5090,24102,BD132,6749,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1978/01/30 00:00:00+00,1978/04/24 00:00:00+00,1728000,1728000,Y,0,0,0, ,329.0803784
2055,12903,4952,23925,BC973,6808,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1978/09/25 00:00:00+00,1971/12/09 00:00:00+00,1440000,1440000,Y,323,311,27,Y,338.1268216
2056,12963,1235,673,DN584,7010,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1991/07/15 00:00:00+00,1991/07/23 00:00:00+00,1152000,1152000,Y,317,311,16,Y,326.8492216
2057,12474,8821,70003,UP444,9717,Groundwater,PS42,Lodging,Commercial,APPROVED well with well report,2008/10/09 00:00:00+00,2008/10/15 00:00:00+00,72000,10000,Y,252,249,25,Y,274.5900486
2058,12886,8902,70118, ,6678,Groundwater,DS12,Privt/multi residences,Commercial,LOCAP Residential or Fire Well,2008/12/18 00:00:00+00,,21600,400,N,0,0,0, ,336.9076216
