OBJECTID,ASSESSMENT_UNIT_SEQ_NO,OFFICIAL_NAME,LOCAL_NAME,WATER_TYPE,START_MILE_NO,END_MILE_NO,WATER_TYPE_SIZE_AMT,MEASUREMENT_UNIT,TROUT_CLASS_CODE,WBIC,ORW_ERW,IMPAIRED_WATER_LISTED_FLAG,FED_WILD_SCENIC_FLAG,CLASSIFICATION,CLASSIFICATION_STATUS,DECISION_DATE,INFO_SOURCES,DOCUMENT_URL,ASSESSMENT_UNIT_COMMENT,SHAPELEN
4104,13123,Little Kickapoo Creek,Little Kickapoo Creek,RIVER,0,2.62,2.62,MILES,CLASS II,1182300,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU:  Mouth to Dutch Ridge Rd. ,4209.95250085643
4105,13128,Otter Creek,Otter Creek,RIVER,0,4.01,4.01,MILES,CLASS I,1183100,,N,,Cold  (Class I Trout),Official,,Trout Book: 2008 Wisconsin Trout Streams,"""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=26879409"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=28460260""","This AU: mouth to Unnamed Stream (WBIC 5034438).

New trout water Class I for 2008 Trout Book - fek",6453.46884902288
4117,12947,East Fork Tamarack Creek,E. Fk. Tamarack Creek,RIVER,0,2.1,2.1,MILES,CLASS I,1627600,,N,,Cold  (Class I Trout),Official,,NA,NA,AU: Entire stream.,3378.51513804086
4118,12948,West Fork Tamarack Creek,W. Fk. Tamarack Creek,RIVER,0,2,2,MILES,CLASS I,1628100,ORW,N,,Cold  (Class I Trout),Official,,NA,NA,"This seems to be part of Tamarack Creek according to OERW paper map.

Stream section from the confluence with the East Fork Tamarack Creek upstream to the outlet of Emil Lake
",3218.69552256273
4119,12949,Haymeadow Creek,Haymeadow Creek,RIVER,0,3.02,3.02,MILES,CLASS II,1628800,,N,,Cold  (Class II Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: From confluence with Wisconsin R upstream to E line S27.,4858.04698126481
4120,12950,Portage Creek,Portage Creek,RIVER,0,3.87,3.87,MILES,CLASS III,1628900,,N,N,Class III Trout,Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: mouth to Little Portage Lake (headwaters).,6224.66143818924
4123,13033,Gulch Creek,Gulch Creek (Witches Gulch),RIVER,0,5.25,5.25,MILES,CLASS I,1299700,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data",NA,"AU: entire stream
",8448.63010959116
4125,13038,Corning Creek,Corning Creek,RIVER,0,5.68,5.68,MILES,CLASS I,1301400,ERW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, SWIMS Data and Professional Decision, Total Phosphorus Package - Streams",NA,,9141.46954170672
4126,945024,Unnamed,Cherry Creek,RIVER,0,3.23,3.23,MILES,CLASS II,576500,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire Creek,5192.52678446624
4127,945072,Unnamed,Drake Creek trib,RIVER,0.01,0.97,0.96,MILES,CLASS II,580900,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire creek,1560.01497943216
4128,945101,Unnamed,Creek 30-10,RIVER,0,4.74,4.74,MILES,CLASS III,583300,,N,,Class III Trout,Official,,Trout Book: 2002 Spatial Data,NA,This AU: entire creek,7619.68919302853
4129,949188,Sand Creek,Sand Creek,RIVER,0,3.99,3.99,MILES,CLASS III,1656000,,N,,Class III Trout,Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,AU: entire stream,6414.60352035134
4130,13131,Halls Br,Halls Branch,RIVER,0,1.97,1.97,MILES,CLASS III,1184300,,N,,Class III Trout,Official,,"Fish IBI Analysis Package, Macroinvertebrate IBI Package, Watershed Tables Basin Plans, Temperature Assessment Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams, Trout Book: 1",NA,This AU:  Mouth to Zintz Road.,3170.40803089567
4131,13132,Halls Br,Halls Branch,RIVER,5.16,7.74,2.58,MILES,CLASS II,1184300,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Farrington Rd. to the headwaters. ,4149.29013568022
4133,13135,Kickapoo River,Kickapoo River,RIVER,125.85,128.82,2.97,MILES,CLASS I,1182400,,N,,Cold  (Class I Trout),Official,,"Watershed Tables Basin Plans, State Admin. Code NR 102, Trout Book: 2008 Wisconsin Trout Streams",NA,This AU: Kiln Road to headwaters.,4790.71590827786
4134,13136,Tainter Creek,Tainter Creek,RIVER,0,2.45,2.45,MILES,CLASS II,1185500,,N,,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 2008 Wisconsin Trout Streams, Trout Book: 1980 Blue Book, Total Phosphorus Package - Streams","""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=25629887""",This AU:  Mouth to CTH B. 2008 Trout Book Reclass to a Class II for this au. Was 1980 Trout Book Class III.,3949.18734941079
4135,13141,Unnamed,Mcgraw Cr (18-3)(T11nr4w18-13),RIVER,0,4.59,4.59,MILES,CLASS I,1186400,,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 2008 Wisconsin Trout Streams, Total Phosphorus Package - Streams","""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=25645660"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=26125365""","entire stream; Class II in 1980 and 2002 Trout Books, Class I for 2008 Trout Book -fek",7385.77490427129
4136,13142,Bear Creek,Bear Creek,RIVER,0,5.14,5.14,MILES,CLASS II,1186600,,N,,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Trout Book: 2002 Spatial Data",NA,AU: entire stream,8271.76828134805
4137,13143,Baker Creek,Baker Creek,RIVER,0,4.06,4.06,MILES,CLASS II,1186900,,N,,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Trout Book: 2002 Spatial Data",NA,entire stream,6534.92336688758
4138,13150,Sherry Creek,Sherry Creek,RIVER,0,4.02,4.02,MILES,CLASS II,1187500,,N,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data",NA,entire stream,6465.93785632992
4148,12962,Deerskin River,Deerskin River,RIVER,4.58,8.93,4.35,MILES,CLASS II,1600400,,N,N,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package",NA,"This AU:  Jones Dam to the north-south quarter section line in S34, T41N R11E.",6998.9721101283
4149,12963,Deerskin River,Deerskin River,RIVER,8.93,13.37,4.44,MILES,CLASS I,1600400,ORW,N,,Cold  (Class I Trout),Official,,"Temperature Assessment Package, SWIMS Data and Professional Decision, Total Phosphorus Package - Streams",NA,"This AU:  North-south quarter section line in S34, T41N R11E to FS road 2538 (Board Bridge Rd).",7146.2905739301
4151,12969,Blackjack Creek,Blackjack Creek,RIVER,0,1.3,1.3,MILES,CLASS III,1601400,,N,,Class III Trout,Official,,NA,NA,"Lower 1.3 miles of Blackjack Creek, as described in trout books.",2092.15113548554
4152,12970,Blackjack Creek,Blackjack Creek,RIVER,1.3,5.47,4.17,MILES,CLASS I,1601400,ERW,N,,Cold  (Class I Trout),Official,,NA,NA,,6718.62899443941
4154,13039,White Creek,White Creek,RIVER,0,5.07,5.07,MILES,CLASS II,1342800,,N,,Cold  (Class II Trout),Official,,"Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams",NA,entire stream (mouth to forks),8154.62015478537
4155,13040,Campbell Creek,Campbell Creek,RIVER,0,1.78,1.78,MILES,CLASS II,1343400,,N,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data, Temperature Assessment Package, SWIMS Data and Professional Decision",NA,"This AU:  Mouth to 11th Dr (Easton Lake dam).

OEW Name:  Campbell Creek 
",2869.93672538622
4156,13041,Campbell Creek,Campbell Creek,RIVER,2.99,7.85,4.86,MILES,CLASS I,1343400,ERW,N,,Cold  (Class I Trout),Official,01/01/1980,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data, Temperature Assessment Package, Trout Book: 1980 Blue Book",NA,This AU: Easton Lake inlet to the headwaters.,7811.69624303944
4157,949195,Unnamed,Creek 19-15,RIVER,0,4.25,4.25,MILES,CLASS I,1661300,,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,AU: entire stream,6840.10955019955
4159,13048,Beaver Creek,Beaver Creek,RIVER,0,2.37,2.37,MILES,CLASS II,1297300,ERW,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,AU: entire stream,3818.66435365057
4160,13049,Camels Creek,Camels Creek,RIVER,0,1.86,1.86,MILES,CLASS I,1297500,ERW,N,,Cold  (Class I Trout),Official,01/02/2023,"Fish Community Survey Data, Trout Book: 2002 Spatial Data",NA,This AU:  Mouth to Bluebird Lane.,2999.04614828393
4161,13050,Hulburt Creek,Hulbert Creek,RIVER,0,1.55,1.55,MILES,CLASS II,1298500,,Y,,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams",NA,This AU:  Mouth to CTH H.,2494.48318580373
4162,13152,Day Creek,Day Creek,RIVER,0,4.65,4.65,MILES,CLASS I,1187800,,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Trout Book: 2002 Spatial Data",NA,entire stream,7490.56995090123
4163,13158,Bishop Br,Bishop Branch,RIVER,0,4.2,4.2,MILES,CLASS I,1188500,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 2008 Wisconsin Trout Streams, SWIMS Data and Professional Decision","""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=28465177"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=26879399"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=26263771"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=26147511"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=26147488"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=26147486"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=26147483""","This AU:  Mouth to trib 1188600.
This AU Class II in 1980 and 2002. Now Class I for 2008 Trout Book - fek.",6759.25857034599
4164,13160,Maple Dale Creek,Maple Dale Creek (Creek 2-3),RIVER,0,3.49,3.49,MILES,CLASS I,1188800,,N,,Cold  (Class I Trout),Official,,NA,"""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=28460568"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=26264202"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=26264195"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=26879385""","Entire stream up to headwaters as per Jordan Weeks, 2009.",5614.2950992009
4165,13161,Cook Creek,Cooks Creek,RIVER,0,3.87,3.87,MILES,CLASS I,1189000,,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Trout Book: 2002 Spatial Data",NA,entire stream,6229.00648536648
4166,13162,Elk Run,Elk Run,RIVER,0,3,3,MILES,CLASS II,1189200,,N,,Cold  (Class II Trout),Official,09/22/2020,Trout Fisheries Methodology,"""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=257372930"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=257372909""",,4828.04097018495
4167,13163,Seas Branch,Seas Branch,RIVER,2.7,6.06,3.36,MILES,CLASS I,1189800,ERW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams",NA,This AU: pl 556 to headwaters. ,5406.13258101962
4168,13165,Knapp Creek,Knapp Creek,RIVER,0,7.47,7.47,MILES,CLASS III,1191400,,N,,Class III Trout,Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data, SWIMS Data and Professional Decision",NA,entire stream,12016.4201260651
4169,937766,Unnamed,Creek 16-2,RIVER,0,1.05,1.05,MILES,CLASS I,465400,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire Creek,1686.62799723807
4175,13926,Martin Br,Martin Branch,RIVER,4,5.32,1.32,MILES,CLASS II,963400,,Y,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Badger Rd. to trib 963600.,2124.32871352394
4177,13929,Day Br,Days Branch,RIVER,0,3.25,3.25,MILES,CLASS II,964000,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,entire stream,5233.33526122066
4178,13931,Rogers Br,Rogers Branch,RIVER,8,11.83,3.83,MILES,CLASS II,964300,,Y,,Cold  (Class II Trout),Official,,"Watershed Tables Basin Plans, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU:  Mile 8 to headwaters near Fennimore.,6164.45055432316
4179,13996,Neshonoc Creek,Neshonoc Creek,RIVER,0,4.99,4.99,MILES,CLASS III,1653000,,N,,Class III Trout,Official,,"Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data",NA,This AU:  Mouth to second crossing of Highway 108.,8023.48656468627
4180,13997,Eggens Coulee Creek,Eggens Coulee Creek,RIVER,0,2.84,2.84,MILES,CLASS I,1653300,,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data, Trout Book: 2008 Wisconsin Trout Streams","""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=26125409"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=26877211"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=28460440""","entire stream, Class II in 1980 and 2002 Trout Books, Proposed Class 1 for 2008 Trout Book-fek",4574.3084759701
4181,14000,Burns Creek,Burns Creek,RIVER,0,5.24,5.24,MILES,CLASS II,1653600,,N,,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Trout Book: 2002 Spatial Data",NA,This AU:  Mouth to CTH E.,8436.95539201792
4182,14001,Burns Creek,Burns Creek,RIVER,7.25,13.52,6.27,MILES,CLASS I,1653600,ERW,N,,NA,NA,NA,"Fish Community Survey Data, Macroinvertebrate IBI Package",NA,"This AU:  Section 10 to the headwaters.
This segment is ERW",10091.2966755039
4183,14002,Adams Valley Creek,Adams Valley Creek,RIVER,0,2.57,2.57,MILES,CLASS III,1653700,,Y,,Class III Trout,Official,,"Fish Community Survey Data, Macroinvertebrate IBI Package, Biological, Chemical, Habitat Data, Watershed Tables Basin Plans, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU:  Mouth to large farm complex driveway at mile 2.57.,4140.32832724294
4184,14003,Little Burns Creek,Little Burns Creek,RIVER,0,2.69,2.69,MILES,CLASS I,1654000,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,AU: entire stream,4325.33630389604
4187,14069,Unnamed,Severson Coulee (Creamery) Creek,RIVER,0,4.8,4.8,MILES,CLASS III,1686200,,N,,Class III Trout,Official,,Trout Book: 2002 Spatial Data,NA,entire stream,7718.02227646761
4194,14140,Trout Run,Trout Run,RIVER,0,2.27,2.27,MILES,CLASS III,1695500,,N,,Class III Trout,Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU:  Mouth to Roaring Fork Rd.,3649.04118139974
4195,14141,East Branch Trout Run Creek,East Branch Trout River,RIVER,0,3.55,3.55,MILES,CLASS II,1695600,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,entire stream,5714.68597015852
4196,14143,Robinson Creek,Robinson Creek,RIVER,12,15,3,MILES,CLASS II,1696300,,N,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Temperature Assessment Package, Trout Book: 2002 Spatial Data, SWIMS Data and Professional Decision",NA,,4828.04204116356
4197,14146,Shamrock Creek,Shamrock Creek,RIVER,0,2.6,2.6,MILES,CLASS III,1697000,,N,,Class III Trout,Official,,Trout Book: 2002 Spatial Data,NA,This AU:  Mouth to Jackson-Monroe county line.,4184.60411291903
4199,14150,Clear Creek,Clear Creek,RIVER,9.03,10.32,1.29,MILES,CLASS I,1697800,ERW,N,,Cold  (Class I Trout),Official,,"Watershed Tables Basin Plans, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU:  W line S7,T19N, R2W, upstream",2069.28145318342
4200,14151,Ranch Creek,Ranch Creek,RIVER,0,1.8,1.8,MILES,CLASS II,1698100,,N,,Cold  (Class II Trout),Official,,"State Admin. Code NR 102, Trout Book: 2002 Spatial Data",NA,This AU:  Mouth to top of small flowage (mile 1.8).,2900.01969284471
4201,14152,Ranch Creek,Ranch Creek,RIVER,1.81,3.43,1.62,MILES,CLASS II,1698100,,N,,Cold  (Class II Trout),Official,01/01/1980,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU:  From the small flowage inlet at mile 1.8 to the headwaters.,2608.15757007154
4203,14157,Glen Creek,Glenn Creek,RIVER,0,2.91,2.91,MILES,CLASS III,1700600,,N,,Class III Trout,Official,,Trout Book: 2002 Spatial Data,NA,entire stream (to the forks),4678.36637724634
4204,14158,Pigeon Creek,Pigeon Creek,RIVER,0,4.96,4.96,MILES,CLASS III,1700800,,Y,,Class III Trout,Official,,"Watershed Tables Basin Plans, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,entire stream,7983.80977980779
4211,14173,Hawk Creek,Hawk Creek,RIVER,0,7.93,7.93,MILES,CLASS I,1705300,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data",NA,entire stream,12763.4767223767
4212,14174,Hoffman Creek,Hoffman Creek,RIVER,0,3.23,3.23,MILES,CLASS II,1705500,,N,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data",NA,entire stream,5195.3440608392
4213,14175,Papoose Creek,Papoose Creek,RIVER,0,3.15,3.15,MILES,CLASS II,1705700,,N,,Cold  (Class II Trout),Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data",NA,entire stream,5070.85104964386
4214,14176,Unnamed,"Creek 21n, 5w, 13sesw(Creek 13-12)",RIVER,0,3.04,3.04,MILES,CLASS I,1705800,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,"AU: entire stream

",4895.79544761208
4217,14188,Levis Creek,Levis Creek,RIVER,0,4.3,4.3,MILES,CLASS I,1708900,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams",NA,This AU:  Mouth to Indian Grave Creek.,6918.57740865075
4218,14189,Levis Creek,Levis Creek,RIVER,4.3,8.98,4.68,MILES,CLASS II,1708900,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU:  Indian Grave Creek to east line S15 T21N R3W.,7527.32839299756
4219,1438245,Unnamed,Creek 34-6,RIVER,0,3.28,3.28,MILES,CLASS III,1788400,,N,,Class III Trout,Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,entire stream,5276.98669074399
4222,14217,Unnamed,"Creek 22n, 4w, 33nenw(Creek 33-5)",RIVER,0,1.21,1.21,MILES,CLASS I,1710100,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,entire stream,1944.53757423842
4223,14218,Snow Creek,Snow Creek,RIVER,0,3.77,3.77,MILES,CLASS I,1710200,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,AU: entire stream,6071.57910736724
4225,1438334,Pigeon Creek,Pigeon Creek,RIVER,14.89,21.72,6.83,MILES,CLASS II,1792500,,N,,Cold  (Class II Trout),Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data",NA,This AU: CTH FF to the headwaters.,10988.9644757645
4226,1438444,Unnamed,Creek 36-15,RIVER,0.27,0.94,0.67,MILES,CLASS II,1802000,,N,,Cold  (Class II Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU:  Folkman Rd. to the headwaters impoundment.,1084.91446774585
4227,1438524,Lowe Creek,Lowe Creek,RIVER,1.09,4.17,3.08,MILES,CLASS III,1805600,,N,,Class III Trout,Official,,Trout Book: 2002 Spatial Data,NA,This AU:  Sechlerville Rd. to the headwaters.,4941.51113093069
4228,1438572,Unnamed,Creek 27-7,RIVER,0,1.41,1.41,MILES,CLASS I,1806730,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"Creek 27-7 was erroneously listed in the 1980 trout book; Creek 26-7 was intended. This is classified as ERW because it is listed in 1980 trout book. 

This AU follows WBIC 1806730, O/ERW paper map and trout layer follow WBIC 5020370. 

Follow up by biologists is needed to determine if either branch should be ERW.",2263.24377143164
4229,1438597,Unnamed,Creek 26-7,RIVER,0,1.95,1.95,MILES,CLASS I,1806800,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data",NA,entire stream,3133.1292134364
4231,14227,Cisna Creek,Cisna Creek,RIVER,0,5.15,5.15,MILES,CLASS I,1713400,ERW,Y,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams",NA,entire stream,8287.13506266922
4233,14229,Vismal Creek,Vismal Creek,RIVER,0,3.76,3.76,MILES,CLASS I,1726400,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams",NA,This AU:  Mouth to the Jackson-Clark county line.,6051.13484152989
4243,14262,Unnamed,Unnamed Creek 17-5,RIVER,0,2.7,2.7,MILES,CLASS I,1748600,ERW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data",NA,"This AU:  Mouth to Division Ave.
",4345.23925867335
4266,14341,Doelle Creek,Doelle Creek,RIVER,0,5.07,5.07,MILES,CLASS III,1774700,,N,,Class III Trout,Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Temperature Assessment Package, Trout Book: 2002 Spatial Data, SWIMS Data and Professional Decision, Trout Book: 1",NA,,8159.810542985
4267,14344,Trout Run Creek,Trout Run Creek,RIVER,0,3.8,3.8,MILES,CLASS II,1775000,,Y,,Cold  (Class II Trout),Official,,"Macroinvertebrate IBI Package, Biological, Chemical, Habitat Data, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams, SWIMS Data and Professional Decision",NA,,6115.51987487655
4268,14345,Trout Run Creek,Trout Run Creek,RIVER,3.8,6.05,2.25,MILES,CLASS II,1775000,,Y,,Cold  (Class II Trout),Official,,"Biological, Chemical, Habitat Data, Trout Book: 2002 Spatial Data",NA,,3625.23090737149
4269,14346,Borst Valley Creek,Borst Valley Creek,RIVER,0,8.18,8.18,MILES,CLASS II,1783100,,N,,Cold  (Class II Trout),Official,12/14/2015,"Fish Community Survey Data, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2016 Wisconsin Trout Streams, Trout Book: 2002 Spatial Data","""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=120810593"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124560199"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124560203""",entire stream,13169.9986702253
4270,14350,Unnamed,Botana Valley Creek,RIVER,0,6.16,6.16,MILES,CLASS II,1775700,,Y,,Cold  (Class II Trout),Official,10/01/2015,"Fish Community Survey Data, Trout Book: 2016 Wisconsin Trout Streams","""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=120810504"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124419563"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124420136"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124420370"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124559968""",,9919.76374031591
4273,14455,Danuser Creek,Danuser Creek,RIVER,0,7.07,7.07,MILES,CLASS II,1812000,,N,,Cold  (Class II Trout),Official,12/19/2018,Trout Book: 2019 Wisconsin Trout Streams,"""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=177444832""",This AU: entire stream.,11373.4008748215
4281,1496022,Spring Creek,Spring (Howard) Creek,RIVER,0,2.82,2.82,MILES,CLASS I,266800,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams, Trout Book: 1980 Blue Book",NA,"This AU: below County Road A.
OERW data layer is missing for the part of the stream below County Road A, which is Class 1 trout according to the 1980 and 2002 trout books. Part of the stream above County Road A which is non-trout has ERW ID 774 labeled Spring Creek with WBIC 267100 attached. This seems to be a mistake if the WBIC lines for the Spring Creek (Howard Creek)  WBIC 266800 and Spring Creek (Upper Howard Cr)  WBIC 267100 are correct. WBIC lines for these two creeks should be checked. Used ERW ID 774 for the trout part of  Spring Creek (Howard Creek).",4533.13498428278
4283,14638,South Fork Main Creek,South Fork Main Creek,RIVER,12.73,18.32,5.58,MILES,CLASS I,2218000,ORW,N,,Cold  (Class I Trout),Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: State HWY 73 to middle of section 28. 
",8986.21168558272
4284,14351,Unnamed,Swinns Valley Creek,RIVER,0,8.49,8.49,MILES,CLASS II,1776000,,Y,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2016 Wisconsin Trout Streams, State Admin. Code NR 102, Watershed Tables Basin Plans, Temperature Assessment Package, Total Phosph","""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124439328"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124439332"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124420370"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124559968""",entire stream,13668.8060481847
4285,14353,Meyers Valley Creek,Meyers Valley Creek,RIVER,2.14,5.88,3.74,MILES,CLASS III,1776700,,Y,,Class III Trout,Official,,"Fish Community Survey Data, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams",NA,This AU:  Myers Valley Road (S. Washington St) to the headwaters.,6017.4495297357
